#,Bid Number,RA Number,Items / Categories,Department / Ministry,Start Date,End Date,Opening Date,Quantity,Tender Status,G.M. DALUI Status,G.M. DALUI Rank,G.M. DALUI Price,L1 Seller,L1 Price,L1-L2 Diff %,User Remark,Orders PDF Link,Attached Files
42,"GEM/2026/B/7658779","N/A","BID DETAILS","","12-06-2026 16:43:37","03-07-2026 15:00:00","03-07-2026 15:30:00","73","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
43,"GEM/2026/B/7657459","N/A","BID DETAILS","","12-06-2026 14:32:58","27-06-2026 16:00:00","27-06-2026 16:30:00","384","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
44,"GEM/2026/B/7655661","N/A","BID DETAILS","","12-06-2026 11:55:38","25-06-2026 15:00:00","25-06-2026 15:30:00","68","Pending","Not Participated","N/A","N/A","N/A","N/A","14.69%","","",""
45,"GEM/2026/B/7647533","N/A","BID DETAILS","","11-06-2026 19:57:29","27-06-2026 21:00:00","27-06-2026 21:30:00","295","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
46,"GEM/2026/B/7647333","GEM/2026/R/700059","BID DETAILS","","15-06-2026 10:57:36","03-07-2026 12:00:00","03-07-2026 12:30:00","40","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
47,"GEM/2026/B/7646538","N/A","BID DETAILS","","10-06-2026 14:26:36","01-07-2026 14:00:00","01-07-2026 14:30:00","12","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
48,"GEM/2026/B/7644742","N/A","BID DETAILS","","10-06-2026 10:47:32","20-06-2026 11:00:00","20-06-2026 11:30:00","14","Pending","Not Participated","N/A","N/A","N/A","N/A","65.89%","","",""
49,"GEM/2026/B/7632456","N/A","BID DETAILS","","25-06-2026 14:15:17","20-08-2026 18:00:00","20-08-2026 18:30:00","109","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
50,"GEM/2026/B/7627453","N/A","BID DETAILS","","07-06-2026 14:00:30","22-06-2026 15:00:00","22-06-2026 15:30:00","3","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
51,"GEM/2026/B/7624082","N/A","BID DETAILS","","05-06-2026 18:02:56","22-06-2026 18:00:00","22-06-2026 18:30:00","171","Pending","Not Participated","N/A","N/A","N/A","N/A","6.99%","","",""
52,"GEM/2026/B/7618760","N/A","BID DETAILS","","03-06-2026 18:06:33","19-06-2026 18:00:00","19-06-2026 18:30:00","35","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
53,"GEM/2026/B/7617483","N/A","BID DETAILS","","08-06-2026 15:54:20","18-06-2026 16:00:00","18-06-2026 16:30:00","55","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
54,"GEM/2026/B/7614901","N/A","BID DETAILS","","03-06-2026 14:36:36","18-07-2026 15:00:00","18-07-2026 15:30:00","2334","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
55,"GEM/2026/B/7614106","N/A","BID DETAILS","","02-06-2026 23:25:48","13-06-2026 09:00:00","13-06-2026 09:30:00","15","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
56,"GEM/2026/B/7612666","N/A","BID DETAILS","","02-06-2026 16:36:54","16-06-2026 17:00:00","16-06-2026 17:30:00","17","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
57,"GEM/2026/B/7611882","N/A","BID DETAILS","","02-06-2026 16:43:58","03-07-2026 17:00:00","03-07-2026 17:30:00","812","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
58,"GEM/2026/B/7605570","N/A","BID DETAILS","","19-06-2026 09:39:44","17-07-2026 11:00:00","17-07-2026 11:30:00","1","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
59,"GEM/2026/B/7604636","N/A","BID DETAILS","","04-06-2026 09:46:46","15-06-2026 11:00:00","15-06-2026 11:30:00","50","Pending","Not Participated","N/A","N/A","N/A","N/A","0.56%","","",""
60,"GEM/2026/B/7603083","N/A","BID DETAILS","","08-06-2026 16:22:51","26-06-2026 14:00:00","26-06-2026 14:30:00","2","Pending","Not Participated","N/A","N/A","N/A","N/A","20.25%","","",""
61,"GEM/2026/B/7602236","GEM/2026/R/719238","BID DETAILS","","02-06-2026 11:30:06","30-06-2026 18:00:00","30-06-2026 18:30:00","457","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
62,"GEM/2026/B/7597127","N/A","BID DETAILS","","04-06-2026 14:31:43","02-07-2026 14:00:00","02-07-2026 14:30:00","11","Pending","Not Participated","N/A","N/A","N/A","N/A","59.74%","","",""
63,"GEM/2026/B/7592275","N/A","BID DETAILS","","16-06-2026 19:59:42","27-06-2026 20:00:00","27-06-2026 20:30:00","152","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
64,"GEM/2026/B/7587377","N/A","BID DETAILS","","26-05-2026 14:53:07","05-06-2026 16:00:00","05-06-2026 16:30:00","335","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
65,"GEM/2026/B/7583489","GEM/2026/R/710731","BID DETAILS","","26-05-2026 14:51:02","09-06-2026 17:00:00","09-06-2026 17:30:00","145","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
66,"GEM/2026/B/7575232","N/A","BID DETAILS","","25-05-2026 14:46:21","15-06-2026 15:00:00","15-06-2026 15:30:00","18","Pending","Not Participated","N/A","N/A","N/A","N/A","0.32%","","",""
67,"GEM/2026/B/7571865","GEM/2026/R/681707","BID DETAILS","","22-05-2026 10:42:44","01-06-2026 11:00:00","01-06-2026 11:30:00","109","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
68,"GEM/2026/B/7571799","N/A","BID DETAILS","","22-05-2026 16:08:53","18-06-2026 15:00:00","18-06-2026 15:30:00","81","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
69,"GEM/2026/B/7571426","N/A","BID DETAILS","","22-05-2026 08:45:56","24-06-2026 11:00:00","24-06-2026 11:30:00","4","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
70,"GEM/2026/B/7561832","N/A","BID DETAILS","","25-05-2026 10:29:41","15-06-2026 11:00:00","15-06-2026 11:30:00","78","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
71,"GEM/2026/B/7553657","GEM/2026/R/680262","BID DETAILS","","18-05-2026 18:32:27","28-05-2026 19:00:00","28-05-2026 19:30:00","274","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
72,"GEM/2026/B/7553481","GEM/2026/R/680250","BID DETAILS","","18-05-2026 13:35:33","28-05-2026 14:00:00","28-05-2026 14:30:00","669","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
73,"GEM/2026/B/7546169","N/A","BID DETAILS","","22-05-2026 10:16:53","01-06-2026 11:00:00","01-06-2026 11:30:00","48","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
74,"GEM/2026/B/7545257","N/A","BID DETAILS","","15-05-2026 13:51:27","05-06-2026 14:00:00","05-06-2026 14:30:00","1","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
75,"GEM/2026/B/7524626","GEM/2026/R/722574","BID DETAILS","","09-06-2026 17:00:11","01-07-2026 14:00:00","01-07-2026 14:30:00","47","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
76,"GEM/2026/B/7522164","N/A","BID DETAILS","","22-05-2026 11:48:27","23-06-2026 12:00:00","23-06-2026 12:30:00","17","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
77,"GEM/2026/B/7520784","N/A","BID DETAILS","","13-05-2026 16:07:30","03-06-2026 17:00:00","03-06-2026 17:30:00","150","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
78,"GEM/2026/B/7511874","N/A","BID DETAILS","","09-05-2026 14:11:34","02-06-2026 14:00:00","02-06-2026 14:30:00","1","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
79,"GEM/2026/B/7507652","N/A","BID DETAILS","","06-05-2026 11:46:19","29-05-2026 11:00:00","29-05-2026 11:30:00","14","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
80,"GEM/2026/B/7507451","N/A","BID DETAILS","","06-05-2026 11:32:30","05-06-2026 12:00:00","05-06-2026 12:30:00","4","Pending","Qualified","L23","380544.16","N/A","N/A","5.32%","","",""
81,"GEM/2026/B/7494635","N/A","BID DETAILS","","18-05-2026 13:11:38","02-06-2026 14:00:00","02-06-2026 14:30:00","32","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
82,"GEM/2026/B/7467752","N/A","BID DETAILS","","06-05-2026 10:35:29","10-06-2026 13:00:00","10-06-2026 13:30:00","8","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
83,"GEM/2026/B/7437827","N/A","BID DETAILS","","27-04-2026 16:00:00","02-06-2026 11:00:00","02-06-2026 11:30:00","110","Pending","Not Participated","N/A","N/A","N/A","N/A","71.72%","","",""
84,"GEM/2026/B/7155121","N/A","BID DETAILS","","27-01-2026 16:39:08","11-02-2026 09:00:00","11-02-2026 09:30:00","18","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
85,"GEM/2026/B/7129160","N/A","BID DETAILS","","20-01-2026 17:30:00","31-01-2026 15:00:00","31-01-2026 15:30:00","40","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
86,"GEM/2026/B/7065783","GEM/2026/R/689086","BID DETAILS","","08-01-2026 10:30:21","05-02-2026 11:00:00","05-02-2026 11:30:00","83","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
87,"GEM/2025/B/6968298","N/A","BID DETAILS","","16-12-2025 14:23:57","06-01-2026 17:00:00","06-01-2026 17:30:00","73","Pending","Disqualified","N/A","N/A","N/A","N/A","46.76%","","",""
88,"GEM/2025/B/6946447","N/A","BID DETAILS","","13-01-2026 12:04:57","10-02-2026 14:00:00","10-02-2026 14:30:00","184","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
89,"GEM/2025/B/6936608","N/A","BID DETAILS","","26-11-2025 20:45:14","06-12-2025 21:00:00","06-12-2025 21:30:00","25","Pending","Not Participated","N/A","N/A","N/A","N/A","11.64%","","",""
90,"GEM/2025/B/6876977","N/A","BID DETAILS","","12-11-2025 13:26:33","27-11-2025 14:00:00","27-11-2025 14:30:00","30","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
91,"GEM/2025/B/6874050","GEM/2026/R/617762","BID DETAILS","","11-11-2025 14:25:01","05-12-2025 17:00:00","05-12-2025 17:30:00","740","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
92,"GEM/2025/B/6863694","N/A","BID DETAILS","","15-11-2025 15:56:42","22-12-2025 11:00:00","22-12-2025 11:30:00","4","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
93,"GEM/2025/B/6835904","N/A","BID DETAILS","","07-11-2025 13:04:07","17-11-2025 14:00:00","17-11-2025 14:30:00","5","Pending","Disqualified","N/A","N/A","N/A","N/A","0.58%","","",""
94,"GEM/2025/B/6823023","N/A","BID DETAILS","","25-10-2025 10:23:23","06-11-2025 11:00:00","06-11-2025 11:30:00","38","Pending","Disqualified","N/A","N/A","N/A","N/A","5.17%","","",""
95,"GEM/2025/B/6776738","N/A","BID DETAILS","","13-10-2025 14:30:30","27-10-2025 11:00:00","27-10-2025 11:30:00","101","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
96,"GEM/2025/B/6771136","GEM/2025/R/591900","BID DETAILS","","10-10-2025 16:46:08","28-10-2025 11:00:00","28-10-2025 11:30:00","381","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
97,"GEM/2025/B/6747764","N/A","BID DETAILS","","09-10-2025 10:52:45","24-10-2025 11:00:00","24-10-2025 11:30:00","23","Pending","Disqualified","N/A","N/A","N/A","N/A","0.1%","","",""
98,"GEM/2025/B/6741193","N/A","BID DETAILS","","26-10-2025 14:20:44","17-11-2025 15:00:00","17-11-2025 15:30:00","46","Pending","Qualified","L12","888068","N/A","N/A","51.01%","","",""
99,"GEM/2025/B/6692136","GEM/2026/R/638171","BID DETAILS","","19-09-2025 19:13:45","07-10-2025 19:00:00","07-10-2025 19:30:00","229","Pending","L1 Won","L1","N/A","N/A","N/A","N/A","","",""
100,"GEM/2025/B/6621230","N/A","BID DETAILS","","28-08-2025 18:46:19","08-09-2025 19:00:00","08-09-2025 19:30:00","126","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
101,"GEM/2025/B/6548859","N/A","BID DETAILS","","07-08-2025 20:11:41","18-08-2025 14:00:00","18-08-2025 14:30:00","12","Pending","Qualified","L3","482148","N/A","N/A","1.26%","","",""
102,"GEM/2025/B/6545840","N/A","BID DETAILS","","09-08-2025 10:25:27","27-09-2025 16:00:00","27-09-2025 16:30:00","205","Pending","L1 Won","L1","N/A","N/A","N/A","N/A","","",""
103,"GEM/2025/B/6436724","N/A","BID DETAILS","","15-07-2025 18:49:09","05-08-2025 19:00:00","05-08-2025 19:30:00","134","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
104,"GEM/2025/B/6429382","N/A","BID DETAILS","","08-07-2025 16:45:37","18-07-2025 17:00:00","18-07-2025 17:30:00","12","Pending","Qualified","L2","77157.84","N/A","N/A","10.01%","","",""
105,"GEM/2025/B/6372892","GEM/2025/R/543141","BID DETAILS","","23-06-2025 11:11:04","03-07-2025 12:00:00","03-07-2025 12:30:00","4","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
106,"GEM/2025/B/6311863","N/A","BID DETAILS","","05-06-2025 16:17:50","26-06-2025 13:00:00","26-06-2025 13:30:00","180","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
107,"GEM/2025/B/6282419","N/A","BID DETAILS","","28-05-2025 19:49:06","14-06-2025 10:00:00","14-06-2025 10:30:00","6","Pending","Disqualified","N/A","N/A","N/A","N/A","0.04%","","",""
108,"GEM/2025/B/6277197","N/A","BID DETAILS","","27-05-2025 09:53:36","17-06-2025 10:00:00","17-06-2025 10:30:00","16","Pending","Not Participated","N/A","N/A","N/A","N/A","74.4%","","",""
109,"GEM/2025/B/6254900","N/A","BID DETAILS","","20-05-2025 18:06:18","05-06-2025 09:00:00","05-06-2025 09:30:00","24","Pending","L1 Won","L1","N/A","N/A","N/A","N/A","","",""
110,"GEM/2025/B/6245536","N/A","BID DETAILS","","19-05-2025 10:50:11","29-05-2025 15:00:00","29-05-2025 15:30:00","20","Pending","Qualified","L3","179870","N/A","N/A","4.34%","","",""
111,"GEM/2025/B/6244640","N/A","BID DETAILS","","31-05-2025 13:07:27","10-06-2025 14:00:00","10-06-2025 14:30:00","14","Pending","Disqualified","N/A","N/A","N/A","N/A","1.83%","","",""
112,"GEM/2025/B/6218201","N/A","BID DETAILS","","09-05-2025 19:11:02","23-05-2025 14:00:00","23-05-2025 14:30:00","55","Pending","Qualified","L4","327915","N/A","N/A","3.08%","","",""
113,"GEM/2025/B/6197391","GEM/2025/R/513732","BID DETAILS","","12-05-2025 11:21:35","02-06-2025 10:00:00","02-06-2025 10:30:00","396","Pending","L1 Won","L1","N/A","N/A","N/A","N/A","","",""
114,"GEM/2025/B/6174028","N/A","BID DETAILS","","26-04-2025 12:05:34","17-05-2025 13:00:00","17-05-2025 13:30:00","10","Pending","Qualified","L15","289926","N/A","N/A","3.01%","","",""
115,"GEM/2025/B/6173241","N/A","BID DETAILS","","28-04-2025 14:01:50","08-05-2025 15:00:00","08-05-2025 15:30:00","2","Pending","Not Participated","N/A","N/A","N/A","N/A","9.63%","","",""
116,"GEM/2025/B/6153137","N/A","BID DETAILS","","26-04-2025 19:01:42","06-05-2025 20:00:00","06-05-2025 20:30:00","64","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
117,"GEM/2025/B/6151449","N/A","BID DETAILS","","19-04-2025 11:47:19","29-04-2025 14:00:00","29-04-2025 14:30:00","14","Pending","Qualified","L6","64158","N/A","N/A","89.14%","","",""
118,"GEM/2025/B/6139411","N/A","BID DETAILS","","21-04-2025 16:55:55","12-05-2025 17:00:00","12-05-2025 17:30:00","17","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
119,"GEM/2025/B/6118810","N/A","BID DETAILS","","24-04-2025 15:33:04","17-05-2025 11:00:00","17-05-2025 11:30:00","22","Pending","Disqualified","N/A","N/A","N/A","N/A","0.87%","","",""
120,"GEM/2025/B/6114534","GEM/2025/R/480671","BID DETAILS","","04-04-2025 18:35:51","14-04-2025 19:00:00","14-04-2025 19:30:00","138","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
121,"GEM/2025/B/6108006","GEM/2025/R/492666","BID DETAILS","","16-04-2025 13:29:01","07-05-2025 11:00:00","07-05-2025 11:30:00","172","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
122,"GEM/2025/B/6095515","N/A","BID DETAILS","","01-04-2025 11:37:39","22-04-2025 10:00:00","22-04-2025 10:30:00","3","Pending","Disqualified","N/A","N/A","N/A","N/A","190.19%","","",""
123,"GEM/2025/B/6084162","GEM/2025/R/500392","BID DETAILS","","25-03-2025 17:30:52","15-04-2025 20:00:00","15-04-2025 20:30:00","24","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
124,"GEM/2025/B/6029007","GEM/2025/R/493506","BID DETAILS","","29-03-2025 16:05:06","15-04-2025 11:00:00","15-04-2025 11:30:00","90","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
125,"GEM/2025/B/5984327","N/A","BID DETAILS","","26-02-2025 18:17:02","10-03-2025 11:00:00","10-03-2025 11:30:00","100","Pending","L1 Won","L1","N/A","N/A","N/A","N/A","","",""
126,"GEM/2025/B/5981630","GEM/2025/R/476368","BID DETAILS","","25-02-2025 19:59:32","18-03-2025 11:00:00","18-03-2025 11:30:00","124","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
127,"GEM/2025/B/5932842","N/A","BID DETAILS","","15-02-2025 11:51:04","08-03-2025 12:00:00","08-03-2025 12:30:00","48","Pending","Disqualified","N/A","N/A","N/A","N/A","21.63%","","",""
128,"GEM/2025/B/5908185","GEM/2025/R/485534","BID DETAILS","","04-02-2025 16:15:21","03-03-2025 15:00:00","03-03-2025 15:30:00","70","Pending","Not Participated","N/A","N/A","N/A","N/A","N/A","","",""
129,"GEM/2025/B/5891270","N/A","BID DETAILS","","04-02-2025 16:44:51","14-02-2025 17:00:00","14-02-2025 17:30:00","8","Pending","Disqualified","N/A","N/A","N/A","N/A","0.02%","","",""
130,"GEM/2025/B/5837990","GEM/2025/R/461949","BID DETAILS","","18-01-2025 15:54:33","28-01-2025 16:00:00","28-01-2025 16:30:00","150","Pending","Qualified","N/A","N/A","N/A","N/A","N/A","","",""
